dataset,model,k,method,accuracy,macro_f1,micro_f1,accuracy_loss,macro_f1_loss,micro_f1_loss,accuracy_utility_ratio,macro_f1_utility_ratio,micro_f1_utility_ratio,global_utility_score
citeseer,graphsage,2,1HiKDA,0.6203333333333333,0.5951171844065138,0.6203333333333333,0.051000000000000045,0.04680943115634103,0.051000000000000045,0.924126667467552,0.9272015863956461,0.924126667467552,0.9251516404435834
citeseer,graphsage,2,Ange_Modifie_NCC,0.6136666666666667,0.5937617101467014,0.6136666666666667,0.05766666666666672,0.04816490541615348,0.05766666666666672,0.91432109678383,0.9251663687163033,0.91432109678383,0.9179361874279879
citeseer,graphsage,2,Ange_Original,0.6750000000000002,0.6445009016150711,0.6750000000000002,-0.00366666666666667,-0.0025742860522162125,-0.00366666666666667,1.0055040047543795,1.0040587283483895,1.0055040047543795,1.005022245952383
citeseer,graphsage,2,Zhou_Pei,0.49899999999999994,0.4851704143527909,0.49899999999999994,0.17233333333333337,0.15675620121006398,0.17233333333333337,0.7434701640858474,0.7559675901292137,0.7434701640858474,0.7476359727669696
citeseer,graphsage,2,original,0.6713333333333334,0.6419266155628549,0.6713333333333334,0.0,0.0,0.0,1.0,1.0,1.0,1.0
citeseer,graphsage,5,1HiKDA,0.6076666666666667,0.5835268585364853,0.6076666666666667,0.06366666666666672,0.058399757026369646,0.06366666666666672,0.9055957165151467,0.909573550916655,0.9055957165151467,0.9069216613156494
citeseer,graphsage,5,Ange_Modifie_NCC,0.5406666666666667,0.5266754302413941,0.5406666666666667,0.13066666666666668,0.11525118532146088,0.13066666666666668,0.8053345038398767,0.8204327929292269,0.8053345038398767,0.8103672668696601
citeseer,graphsage,5,Ange_Original,0.672,0.6426469787720425,0.672,-0.0006666666666666673,-0.0007203632091875578,-0.0006666666666666673,1.0009782021452398,1.001105492873334,1.0009782021452398,1.0010206323879378
citeseer,graphsage,5,Zhou_Pei,0.467,0.4464748203764608,0.467,0.20433333333333337,0.1954517951863941,0.20433333333333337,0.6955453462167066,0.6954512608916494,0.6955453462167066,0.6955139844416877
citeseer,graphsage,5,original,0.6713333333333334,0.6419266155628549,0.6713333333333334,0.0,0.0,0.0,1.0,1.0,1.0,1.0
citeseer,graphsage,10,1HiKDA,0.6183333333333333,0.5922122110265946,0.6183333333333333,0.05300000000000005,0.049714404536260304,0.05300000000000005,0.9213406287820621,0.9229131322248403,0.9213406287820621,0.9218647965963216
citeseer,graphsage,10,Ange_Modifie_NCC,0.5173333333333333,0.4913328693781785,0.5173333333333333,0.15400000000000003,0.15059374618467639,0.15400000000000003,0.770496116786628,0.7651551577389277,0.770496116786628,0.7687157971040612
citeseer,graphsage,10,Ange_Original,0.6703333333333333,0.6420292030553215,0.6703333333333333,0.0010000000000000009,-0.00010258749246664738,0.0010000000000000009,0.9984764500183002,1.0001050915230965,0.9984764500183002,0.999019330519899
citeseer,graphsage,10,Zhou_Pei,0.4663333333333333,0.43582693798479033,0.4663333333333333,0.20500000000000007,0.20609967757806458,0.20500000000000007,0.6945358596911674,0.6786832983575647,0.6945358596911674,0.6892516725799666
citeseer,graphsage,10,original,0.6713333333333334,0.6419266155628549,0.6713333333333334,0.0,0.0,0.0,1.0,1.0,1.0,1.0
citeseer,graphsage,50,1HiKDA,0.611,0.5860568290360412,0.611,0.060333333333333385,0.0558697865268137,0.060333333333333385,0.9104383594209166,0.9133131346574119,0.9104383594209166,0.9113966178330818
citeseer,graphsage,50,Ange_Modifie_NCC,0.5146666666666667,0.49311298503713097,0.5146666666666667,0.1566666666666667,0.14881363052572394,0.1566666666666667,0.7665677817121918,0.7680418683630291,0.7665677817121918,0.7670591439291377
citeseer,graphsage,50,Ange_Original,0.6713333333333334,0.6410046473554499,0.6713333333333334,0.0,0.0009219682074050143,0.0,1.0000410954581447,0.9986082983168516,1.0000410954581447,0.999563496411047
citeseer,graphsage,50,Zhou_Pei,0.40599999999999997,0.3903168567692183,0.40599999999999997,0.26533333333333337,0.2516097587936366,0.26533333333333337,0.6047015584163309,0.607916626147435,0.6047015584163309,0.6057732476600323
citeseer,graphsage,50,original,0.6713333333333334,0.6419266155628549,0.6713333333333334,0.0,0.0,0.0,1.0,1.0,1.0,1.0
