dataset,model,method,k,seed,num_nodes,num_edges_original,num_edges_anonymized,accuracy,macro_f1,micro_f1,accuracy_loss,macro_f1_loss,micro_f1_loss,accuracy_utility_ratio,macro_f1_utility_ratio,micro_f1_utility_ratio,global_utility_score,method_error
citeseer,node2vec_logreg,original,2,42,3327,4552,4552,0.493,0.47640878774765977,0.493,0.0,0.0,0.0,1.0,1.0,1.0,1.0,
citeseer,node2vec_logreg,Ange_Original,2,42,3327,4552,4576,0.489,0.47190777882997487,0.489,0.0040000000000000036,0.004501008917684901,0.0040000000000000036,0.9918864097363083,0.9905522126513145,0.9918864097363083,0.9914416773746438,
citeseer,node2vec_logreg,Ange_Modifie_NCC,2,42,3327,4552,12362,0.288,0.28308034400821064,0.288,0.20500000000000002,0.19332844373944913,0.20500000000000002,0.5841784989858012,0.5941963105813872,0.5841784989858012,0.5875177695176632,
citeseer,node2vec_logreg,Zhou_Pei,2,42,3327,4552,11900,0.295,0.29092310357019957,0.295,0.198,0.1854856841774602,0.198,0.5983772819472616,0.6106585584737225,0.5983772819472616,0.6024710407894153,
citeseer,node2vec_logreg,1HiKDA,2,42,3327,4552,5324,0.415,0.40795560832563277,0.415,0.07800000000000001,0.068453179422027,0.07800000000000001,0.8417849898580121,0.8563141965838701,0.8417849898580121,0.8466280587666315,
citeseer,node2vec_logreg,original,2,123,3327,4552,4552,0.492,0.48045138316157504,0.492,0.0,0.0,0.0,1.0,1.0,1.0,1.0,
citeseer,node2vec_logreg,Ange_Original,2,123,3327,4552,4576,0.495,0.48255199997996784,0.495,-0.0030000000000000027,-0.0021006168183927976,-0.0030000000000000027,1.0060975609756098,1.0043721735268403,1.0060975609756098,1.00552243182602,
citeseer,node2vec_logreg,Ange_Modifie_NCC,2,123,3327,4552,12362,0.298,0.2902320764388557,0.298,0.194,0.19021930672271936,0.194,0.6056910569105691,0.6040820915718981,0.6056910569105691,0.6051547351310121,
citeseer,node2vec_logreg,Zhou_Pei,2,123,3327,4552,11900,0.31,0.3059296240256906,0.31,0.182,0.1745217591358844,0.182,0.6300813008130082,0.6367545910941982,0.6300813008130082,0.6323057309067381,
citeseer,node2vec_logreg,1HiKDA,2,123,3327,4552,5337,0.426,0.41894995110107586,0.426,0.066,0.061501432060499184,0.066,0.8658536585365854,0.871992392537631,0.8658536585365854,0.8678999032036004,
citeseer,node2vec_logreg,original,2,2024,3327,4552,4552,0.514,0.5004309394359944,0.514,0.0,0.0,0.0,1.0,1.0,1.0,1.0,
citeseer,node2vec_logreg,Ange_Original,2,2024,3327,4552,4576,0.512,0.49706178951622554,0.512,0.0020000000000000018,0.0033691499197688324,0.0020000000000000018,0.9961089494163424,0.9932675027575912,0.9961089494163424,0.9951618005300921,
