dataset,model,method,k,seed,num_nodes,num_edges_original,num_edges_anonymized,accuracy,macro_f1,micro_f1,accuracy_loss,macro_f1_loss,micro_f1_loss,accuracy_utility_ratio,macro_f1_utility_ratio,micro_f1_utility_ratio,global_utility_score,method_error
cora,gat,original,2,42,2708,5278,5278,0.82,0.8064110862160917,0.82,0.0,0.0,0.0,1.0,1.0,1.0,1.0,
cora,gat,Ange_Original,2,42,2708,5278,5323,0.822,0.8127294676318958,0.822,-0.0020000000000000018,-0.006318381415804097,-0.0020000000000000018,1.002439024390244,1.0078351866979554,1.002439024390244,1.004237745159481,
cora,gat,Ange_Modifie_NCC,2,42,2708,5278,13567,0.538,0.5295748421941615,0.538,0.2819999999999999,0.2768362440219302,0.2819999999999999,0.6560975609756098,0.6567058058180674,0.6560975609756098,0.6563003092564289,
cora,gat,Zhou_Pei,2,42,2708,5278,13205,0.55,0.528944206800504,0.55,0.2699999999999999,0.2774668794155877,0.2699999999999999,0.6707317073170732,0.6559237786306479,0.6707317073170732,0.6657957310882647,
cora,gat,1HiKDA,2,42,2708,5278,6039,0.794,0.7869704426725022,0.794,0.025999999999999912,0.019440643543589542,0.025999999999999912,0.9682926829268294,0.975892390524031,0.9682926829268294,0.9708259187925633,
cora,gat,original,2,123,2708,5278,5278,0.795,0.7942051807522802,0.795,0.0,0.0,0.0,1.0,1.0,1.0,1.0,
cora,gat,Ange_Original,2,123,2708,5278,5323,0.81,0.8063980381481562,0.81,-0.015000000000000013,-0.012192857395876056,-0.015000000000000013,1.0188679245283019,1.0153522763277958,1.0188679245283019,1.0176960417947998,
cora,gat,Ange_Modifie_NCC,2,123,2708,5278,13567,0.549,0.5303172712294184,0.549,0.246,0.2638879095228618,0.246,0.6905660377358491,0.6677333314888425,0.6905660377358491,0.6829551356535136,
cora,gat,Zhou_Pei,2,123,2708,5278,13205,0.539,0.5267993585571189,0.539,0.256,0.2674058221951613,0.256,0.6779874213836478,0.6633038556335387,0.6779874213836478,0.6730928994669448,
cora,gat,1HiKDA,2,123,2708,5278,6040,0.781,0.7795200143989159,0.781,0.014000000000000012,0.014685166353364254,0.014000000000000012,0.9823899371069182,0.9815096064477264,0.9823899371069182,0.9820964935538544,
cora,gat,original,2,2024,2708,5278,5278,0.797,0.792457207545411,0.797,0.0,0.0,0.0,1.0,1.0,1.0,1.0,
cora,gat,Ange_Original,2,2024,2708,5278,5323,0.805,0.7991470182349083,0.805,-0.008000000000000007,-0.006689810689497255,-0.008000000000000007,1.0100376411543288,1.0084418573341247,1.0100376411543288,1.0095057132142606,
cora,gat,Ange_Modifie_NCC,2,2024,2708,5278,13567,0.557,0.5404154463517983,0.557,0.24,0.25204176119361277,0.24,0.698870765370138,0.6819490582030326,0.698870765370138,0.6932301963144362,
cora,gat,Zhou_Pei,2,2024,2708,5278,13205,0.509,0.49575958619663185,0.509,0.28800000000000003,0.2966976213487792,0.28800000000000003,0.6386449184441656,0.6255979268990658,0.6386449184441656,0.6342959212624656,
cora,gat,1HiKDA,2,2024,2708,5278,6044,0.793,0.7848450116216423,0.793,0.0040000000000000036,0.0076121959237687165,0.0040000000000000036,0.9949811794228356,0.9903941867759055,0.9949811794228356,0.993452181873859,
cora,gat,original,5,42,2708,5278,5278,0.82,0.8064110862160917,0.82,0.0,0.0,0.0,1.0,1.0,1.0,1.0,
cora,gat,Ange_Original,5,42,2708,5278,5313,0.799,0.7946895340917095,0.799,0.020999999999999908,0.011721552124382195,0.020999999999999908,0.9743902439024391,0.9854645449142038,0.9743902439024391,0.9780816775730273,
cora,gat,Ange_Modifie_NCC,5,42,2708,5278,21380,0.451,0.43046313295419913,0.451,0.36899999999999994,0.37594795326189256,0.36899999999999994,0.55,0.5338011100195231,0.55,0.5446003700065077,
cora,gat,Zhou_Pei,5,42,2708,5278,21168,0.42,0.3884538621668448,0.42,0.39999999999999997,0.4179572240492469,0.39999999999999997,0.5121951219512195,0.48170699635291464,0.5121951219512195,0.5020324134184512,
cora,gat,1HiKDA,5,42,2708,5278,6029,0.771,0.7659880436982379,0.771,0.04899999999999993,0.04042304251785378,0.04899999999999993,0.9402439024390244,0.9498729082365049,0.9402439024390244,0.9434535710381846,
cora,gat,original,5,123,2708,5278,5278,0.795,0.7942051807522802,0.795,0.0,0.0,0.0,1.0,1.0,1.0,1.0,
cora,gat,Ange_Original,5,123,2708,5278,5313,0.794,0.792923818957859,0.794,0.0010000000000000009,0.0012813617944211764,0.0010000000000000009,0.9987421383647799,0.998386611135919,0.9987421383647799,0.998623629288493,
cora,gat,Ange_Modifie_NCC,5,123,2708,5278,21380,0.424,0.3821762437862092,0.424,0.37100000000000005,0.412028936966071,0.37100000000000005,0.5333333333333333,0.48120593147504714,0.5333333333333333,0.5159575327139047,
cora,gat,Zhou_Pei,5,123,2708,5278,21168,0.442,0.40962765062700235,0.442,0.35300000000000004,0.38457753012527784,0.35300000000000004,0.5559748427672956,0.5157705597425069,0.5559748427672956,0.5425734150923659,
cora,gat,1HiKDA,5,123,2708,5278,6038,0.749,0.7492689893837996,0.749,0.04600000000000004,0.044936191368480594,0.04600000000000004,0.9421383647798741,0.9434199216304324,0.9421383647798741,0.942565550396727,
cora,gat,original,5,2024,2708,5278,5278,0.797,0.792457207545411,0.797,0.0,0.0,0.0,1.0,1.0,1.0,1.0,
cora,gat,Ange_Original,5,2024,2708,5278,5313,0.799,0.7918572377646155,0.799,-0.0020000000000000018,0.0005999697807955728,-0.0020000000000000018,1.002509410288582,0.9992428994586926,1.002509410288582,1.0014205733452857,
cora,gat,Ange_Modifie_NCC,5,2024,2708,5278,21380,0.387,0.3821750618319246,0.387,0.41000000000000003,0.4102821457134864,0.41000000000000003,0.4855708908406524,0.48226586646323666,0.4855708908406524,0.4844692160481805,
cora,gat,Zhou_Pei,5,2024,2708,5278,21168,0.435,0.4083262288475011,0.435,0.36200000000000004,0.38413097869790996,0.36200000000000004,0.5457967377666249,0.5152659663633664,0.5457967377666249,0.5356198139655387,
cora,gat,1HiKDA,5,2024,2708,5278,6034,0.763,0.7592468197308777,0.763,0.03400000000000003,0.03321038781453334,0.03400000000000003,0.9573400250941029,0.9580918849644885,0.9573400250941029,0.9575906450508981,
cora,gat,original,10,42,2708,5278,5278,0.82,0.8064110862160917,0.82,0.0,0.0,0.0,1.0,1.0,1.0,1.0,
cora,gat,Ange_Original,10,42,2708,5278,5305,0.821,0.8095773301633302,0.821,-0.0010000000000000009,-0.003166243947238523,-0.0010000000000000009,1.001219512195122,1.0039263398052913,1.001219512195122,1.0021217880651783,
cora,gat,Ange_Modifie_NCC,10,42,2708,5278,24659,0.393,0.3686964980260195,0.393,0.42699999999999994,0.4377145881900722,0.42699999999999994,0.47926829268292687,0.45720663359930663,0.47926829268292687,0.47191440632172016,
cora,gat,Zhou_Pei,10,42,2708,5278,21869,0.403,0.3841942767318679,0.403,0.4169999999999999,0.4222168094842238,0.4169999999999999,0.4914634146341464,0.4764248449691036,0.4914634146341464,0.4864505580791321,
cora,gat,1HiKDA,10,42,2708,5278,6039,0.756,0.7469327262831904,0.756,0.06399999999999995,0.05947835993290129,0.06399999999999995,0.9219512195121952,0.9262431271722832,0.9219512195121952,0.9233818553988912,
cora,gat,original,10,123,2708,5278,5278,0.795,0.7942051807522802,0.795,0.0,0.0,0.0,1.0,1.0,1.0,1.0,
cora,gat,Ange_Original,10,123,2708,5278,5305,0.808,0.8023682624570402,0.808,-0.013000000000000012,-0.008163081704759989,-0.013000000000000012,1.0163522012578616,1.0102783032679639,1.0163522012578616,1.0143275685945623,
cora,gat,Ange_Modifie_NCC,10,123,2708,5278,24659,0.393,0.3451292696107691,0.393,0.402,0.4490759111415111,0.402,0.49433962264150944,0.43455932796089136,0.49433962264150944,0.47441285774797004,
cora,gat,Zhou_Pei,10,123,2708,5278,21869,0.402,0.3849501988619305,0.402,0.393,0.4092549818903497,0.393,0.5056603773584906,0.4846986750921233,0.5056603773584906,0.4986731432697014,
