dataset,model,method,k,seed,num_nodes,num_edges_original,num_edges_anonymized,accuracy,macro_f1,micro_f1,accuracy_loss,macro_f1_loss,micro_f1_loss,accuracy_utility_ratio,macro_f1_utility_ratio,micro_f1_utility_ratio,global_utility_score,method_error
cora,node2vec_logreg,original,2,42,2708,5278,5278,0.725,0.719953937612481,0.725,0.0,0.0,0.0,1.0,1.0,1.0,1.0,
cora,node2vec_logreg,Ange_Original,2,42,2708,5278,5323,0.735,0.7303491432332107,0.735,-0.010000000000000009,-0.010395205620729597,-0.010000000000000009,1.013793103448276,1.0144387093085458,1.013793103448276,1.0140083054016993,
cora,node2vec_logreg,Ange_Modifie_NCC,2,42,2708,5278,11842,0.644,0.6371659852491289,0.644,0.08099999999999996,0.08278795236335212,0.08099999999999996,0.8882758620689656,0.8850093762416323,0.8882758620689656,0.8871870334598545,
cora,node2vec_logreg,Zhou_Pei,2,42,2708,5278,13205,0.42,0.41691050220994036,0.42,0.305,0.3030434354025407,0.305,0.5793103448275863,0.5790794110974702,0.5793103448275863,0.5792333669175476,
cora,node2vec_logreg,1HiKDA,2,42,2708,5278,6039,0.66,0.6499535032888283,0.66,0.06499999999999995,0.07000043432365277,0.06499999999999995,0.9103448275862069,0.902770954269951,0.9103448275862069,0.9078202031474549,
cora,node2vec_logreg,original,2,123,2708,5278,5278,0.714,0.7095652498070529,0.714,0.0,0.0,0.0,1.0,1.0,1.0,1.0,
cora,node2vec_logreg,Ange_Original,2,123,2708,5278,5323,0.722,0.7162401281816674,0.722,-0.008000000000000007,-0.006674878374614446,-0.008000000000000007,1.011204481792717,1.009406997279573,1.011204481792717,1.0106053202883356,
cora,node2vec_logreg,Ange_Modifie_NCC,2,123,2708,5278,11842,0.643,0.6376612413505182,0.643,0.07099999999999995,0.07190400845653477,0.07099999999999995,0.9005602240896359,0.8986646985938402,0.9005602240896359,0.8999283822577039,
cora,node2vec_logreg,Zhou_Pei,2,123,2708,5278,13205,0.41,0.40718478082772636,0.41,0.304,0.3023804689793266,0.304,0.5742296918767507,0.5738510742154428,0.5742296918767507,0.574103485989648,
cora,node2vec_logreg,1HiKDA,2,123,2708,5278,6040,0.642,0.6418261889186269,0.642,0.07199999999999995,0.06773906088842607,0.07199999999999995,0.8991596638655462,0.9045344160993709,0.8991596638655462,0.9009512479434877,
cora,node2vec_logreg,original,2,2024,2708,5278,5278,0.717,0.7155300767061065,0.717,0.0,0.0,0.0,1.0,1.0,1.0,1.0,
cora,node2vec_logreg,Ange_Original,2,2024,2708,5278,5323,0.732,0.73266553286952,0.732,-0.015000000000000013,-0.0171354561634135,-0.015000000000000013,1.0209205020920502,1.0239479187825276,1.0209205020920502,1.021929640988876,
cora,node2vec_logreg,Ange_Modifie_NCC,2,2024,2708,5278,11842,0.631,0.6286722973161172,0.631,0.08599999999999997,0.08685777938998929,0.08599999999999997,0.8800557880055788,0.8786105822555592,0.8800557880055788,0.8795740527555722,
cora,node2vec_logreg,Zhou_Pei,2,2024,2708,5278,13205,0.405,0.40353683626660913,0.405,0.31199999999999994,0.31199324043949733,0.31199999999999994,0.5648535564853557,0.5639690760789026,0.5648535564853557,0.5645587296832048,
cora,node2vec_logreg,1HiKDA,2,2024,2708,5278,6044,0.652,0.6524521024710932,0.652,0.06499999999999995,0.06307797423501327,0.06499999999999995,0.9093444909344491,0.9118444125711831,0.9093444909344491,0.9101777981466938,
cora,node2vec_logreg,original,5,42,2708,5278,5278,0.725,0.719953937612481,0.725,0.0,0.0,0.0,1.0,1.0,1.0,1.0,
cora,node2vec_logreg,Ange_Original,5,42,2708,5278,5313,0.698,0.6954292578396001,0.698,0.027000000000000024,0.024524679772880975,0.027000000000000024,0.9627586206896551,0.9659357654821502,0.9627586206896551,0.9638176689538202,
cora,node2vec_logreg,Ange_Modifie_NCC,5,42,2708,5278,16137,0.614,0.6048044560814118,0.614,0.11099999999999999,0.1151494815310693,0.11099999999999999,0.8468965517241379,0.8400599322882666,0.8468965517241379,0.8446176785788474,
cora,node2vec_logreg,Zhou_Pei,5,42,2708,5278,21168,0.306,0.30472279437914923,0.306,0.419,0.4152311432333318,0.419,0.4220689655172414,0.42325318115444194,0.4220689655172414,0.4224637040629749,
cora,node2vec_logreg,1HiKDA,5,42,2708,5278,6029,0.646,0.641250703848401,0.646,0.07899999999999996,0.07870323376408006,0.07899999999999996,0.8910344827586207,0.8906829594889409,0.8910344827586207,0.8909173083353942,
cora,node2vec_logreg,original,5,123,2708,5278,5278,0.714,0.7095652498070529,0.714,0.0,0.0,0.0,1.0,1.0,1.0,1.0,
cora,node2vec_logreg,Ange_Original,5,123,2708,5278,5313,0.694,0.691137660008338,0.694,0.020000000000000018,0.01842758979871495,0.020000000000000018,0.9719887955182073,0.9740297459553919,0.9719887955182073,0.9726691123306023,
cora,node2vec_logreg,Ange_Modifie_NCC,5,123,2708,5278,16137,0.618,0.6070427357819798,0.618,0.09599999999999997,0.10252251402507317,0.09599999999999997,0.865546218487395,0.8555136204134132,0.865546218487395,0.8622020191294011,
cora,node2vec_logreg,Zhou_Pei,5,123,2708,5278,21168,0.326,0.31951414752134333,0.326,0.38799999999999996,0.3900511022857096,0.38799999999999996,0.45658263305322133,0.4502956530188401,0.45658263305322133,0.45448697304176094,
cora,node2vec_logreg,1HiKDA,5,123,2708,5278,6038,0.626,0.6307861566619647,0.626,0.08799999999999997,0.07877909314508824,0.08799999999999997,0.876750700280112,0.8889755478209931,0.876750700280112,0.8808256494604058,
cora,node2vec_logreg,original,5,2024,2708,5278,5278,0.717,0.7155300767061065,0.717,0.0,0.0,0.0,1.0,1.0,1.0,1.0,
cora,node2vec_logreg,Ange_Original,5,2024,2708,5278,5313,0.699,0.6998642428775869,0.699,0.018000000000000016,0.015665833828519604,0.018000000000000016,0.9748953974895397,0.9781059743838635,0.9748953974895397,0.9759655897876476,
cora,node2vec_logreg,Ange_Modifie_NCC,5,2024,2708,5278,16137,0.624,0.6126378294462386,0.624,0.09299999999999997,0.1028922472598679,0.09299999999999997,0.8702928870292888,0.8562013664980719,0.8702928870292888,0.8655957135188831,
cora,node2vec_logreg,Zhou_Pei,5,2024,2708,5278,21168,0.302,0.297175558457963,0.302,0.415,0.41835451824814346,0.415,0.4211994421199442,0.415322245887958,0.4211994421199442,0.4192403767092821,
cora,node2vec_logreg,1HiKDA,5,2024,2708,5278,6034,0.667,0.6652523580391508,0.667,0.04999999999999993,0.05027771866695563,0.04999999999999993,0.9302649930264993,0.9297336054713372,0.9302649930264993,0.9300878638414454,
cora,node2vec_logreg,original,10,42,2708,5278,5278,0.725,0.719953937612481,0.725,0.0,0.0,0.0,1.0,1.0,1.0,1.0,
