dataset,model,method,k,seed,num_nodes,num_edges_original,num_edges_anonymized,accuracy,macro_f1,micro_f1,accuracy_loss,macro_f1_loss,micro_f1_loss,accuracy_utility_ratio,macro_f1_utility_ratio,micro_f1_utility_ratio,global_utility_score,method_error
polblogs,node2vec_logreg,original,2,42,1490,16715,16715,0.8993288590604027,0.8993107176645493,0.8993288590604027,0.0,0.0,0.0,1.0,1.0,1.0,1.0,
polblogs,node2vec_logreg,Ange_Original,2,42,1490,16715,16719,0.9026845637583892,0.9026571599139436,0.9026845637583892,-0.003355704697986517,-0.003346442249394288,-0.003355704697986517,1.003731343283582,1.003721119056698,1.003731343283582,1.003727935207954,
polblogs,node2vec_logreg,Ange_Modifie_NCC,2,42,1490,16715,31184,0.9161073825503355,0.91609887944141,0.9161073825503355,-0.016778523489932806,-0.01678816177686071,-0.016778523489932806,1.0186567164179103,1.018667810187405,1.0186567164179103,1.0186604143410751,
polblogs,node2vec_logreg,Zhou_Pei,2,42,1490,16715,33704,0.7986577181208053,0.798576063446287,0.7986577181208053,0.10067114093959739,0.10073465421826233,0.10067114093959739,0.8880597014925372,0.8879868189719082,0.8880597014925372,0.8880354073189941,
polblogs,node2vec_logreg,1HiKDA,2,42,1490,16715,17160,0.8791946308724832,0.8790584415584415,0.8791946308724832,0.020134228187919545,0.020252276106107803,0.020134228187919545,0.9776119402985074,0.977480223788835,0.9776119402985074,0.9775680347952833,
polblogs,node2vec_logreg,original,2,123,1490,16715,16715,0.8959731543624161,0.8959626105073484,0.8959731543624161,0.0,0.0,0.0,1.0,1.0,1.0,1.0,
polblogs,node2vec_logreg,Ange_Original,2,123,1490,16715,16720,0.8959731543624161,0.8959719829285047,0.8959731543624161,0.0,-9.372421156284005e-06,0.0,1.0,1.0000104607279885,1.0,1.0000034869093295,
polblogs,node2vec_logreg,Ange_Modifie_NCC,2,123,1490,16715,31184,0.9228187919463087,0.9228179228179229,0.9228187919463087,-0.02684563758389258,-0.026855312310574475,-0.02684563758389258,1.0299625468164793,1.0299736975579454,1.0299625468164793,1.0299662637303013,
polblogs,node2vec_logreg,Zhou_Pei,2,123,1490,16715,33704,0.8355704697986577,0.8354203532342234,0.8355704697986577,0.06040268456375841,0.06054225727312501,0.06040268456375841,0.9325842696629213,0.9324276966883224,0.9325842696629213,0.9325320786713883,
polblogs,node2vec_logreg,1HiKDA,2,123,1490,16715,17165,0.8825503355704698,0.8825490129837956,0.8825503355704698,0.01342281879194629,0.013413597523552756,0.01342281879194629,0.9850187265917604,0.9850288423130099,0.9850187265917604,0.9850220984988436,
polblogs,node2vec_logreg,original,2,2024,1490,16715,16715,0.9026845637583892,0.9026308376992845,0.9026845637583892,0.0,0.0,0.0,1.0,1.0,1.0,1.0,
polblogs,node2vec_logreg,Ange_Original,2,2024,1490,16715,16719,0.8959731543624161,0.8959157230578559,0.8959731543624161,0.006711409395973145,0.006715114641428599,0.006711409395973145,0.9925650557620818,0.9925605082820517,0.9925650557620818,0.992563539935405,
polblogs,node2vec_logreg,Ange_Modifie_NCC,2,2024,1490,16715,31184,0.8993288590604027,0.8993107176645493,0.8993288590604027,0.003355704697986517,0.003320120034735252,0.003355704697986517,0.996282527881041,0.9963217298855002,0.996282527881041,0.9962955952158606,
polblogs,node2vec_logreg,Zhou_Pei,2,2024,1490,16715,33704,0.8120805369127517,0.8115372453358631,0.8120805369127517,0.09060402684563751,0.0910935923634214,0.09060402684563751,0.8996282527881042,0.8990799022603639,0.8996282527881042,0.8994454692788575,
polblogs,node2vec_logreg,1HiKDA,2,2024,1490,16715,17170,0.87248322147651,0.87248322147651,0.87248322147651,0.030201342281879207,0.03014761622277451,0.030201342281879207,0.966542750929368,0.9666002811297498,0.966542750929368,0.9665619276628287,
polblogs,node2vec_logreg,original,5,42,1490,16715,16715,0.8993288590604027,0.8993107176645493,0.8993288590604027,0.0,0.0,0.0,1.0,1.0,1.0,1.0,
polblogs,node2vec_logreg,Ange_Original,5,42,1490,16715,16754,0.8993288590604027,0.8993107176645493,0.8993288590604027,0.0,0.0,0.0,1.0,1.0,1.0,1.0,
polblogs,node2vec_logreg,Ange_Modifie_NCC,5,42,1490,16715,34180,0.9228187919463087,0.9228109690860973,0.9228187919463087,-0.02348993288590595,-0.02350025142154799,-0.02348993288590595,1.0261194029850744,1.0261314037072489,1.0261194029850744,1.0261234032257993,
polblogs,node2vec_logreg,Zhou_Pei,5,42,1490,16715,39468,0.785234899328859,0.7850800090151002,0.785234899328859,0.11409395973154368,0.11423070864944906,0.11409395973154368,0.8731343283582089,0.8729797094533703,0.8731343283582089,0.8730827887232627,
polblogs,node2vec_logreg,1HiKDA,5,42,1490,16715,17156,0.8422818791946308,0.8421378898369081,0.8422818791946308,0.057046979865771896,0.057172827827641215,0.057046979865771896,0.9365671641791044,0.936425946333526,0.9365671641791044,0.9365200915639115,
polblogs,node2vec_logreg,original,5,123,1490,16715,16715,0.8959731543624161,0.8959626105073484,0.8959731543624161,0.0,0.0,0.0,1.0,1.0,1.0,1.0,
polblogs,node2vec_logreg,Ange_Original,5,123,1490,16715,16754,0.8959731543624161,0.8959626105073484,0.8959731543624161,0.0,0.0,0.0,1.0,1.0,1.0,1.0,
polblogs,node2vec_logreg,Ange_Modifie_NCC,5,123,1490,16715,34180,0.912751677852349,0.912751677852349,0.912751677852349,-0.016778523489932917,-0.01678906734500063,-0.016778523489932917,1.0187265917602997,1.0187385803247901,1.0187265917602997,1.0187305879484632,
polblogs,node2vec_logreg,Zhou_Pei,5,123,1490,16715,39468,0.7449664429530202,0.7445522219715768,0.7449664429530202,0.15100671140939592,0.1514103885357716,0.15100671140939592,0.8314606741573034,0.8310081394467634,0.8314606741573034,0.8313098292537902,
polblogs,node2vec_logreg,1HiKDA,5,123,1490,16715,17148,0.8691275167785235,0.8691142519285996,0.8691275167785235,0.02684563758389258,0.026848358578748788,0.02684563758389258,0.9700374531835206,0.9700340636273364,0.9700374531835206,0.9700363233314592,
polblogs,node2vec_logreg,original,5,2024,1490,16715,16715,0.9026845637583892,0.9026308376992845,0.9026845637583892,0.0,0.0,0.0,1.0,1.0,1.0,1.0,
polblogs,node2vec_logreg,Ange_Original,5,2024,1490,16715,16754,0.8959731543624161,0.8959719829285047,0.8959731543624161,0.006711409395973145,0.006658854770779876,0.006711409395973145,0.9925650557620818,0.9926228370529057,0.9925650557620818,0.9925843161923563,
polblogs,node2vec_logreg,Ange_Modifie_NCC,5,2024,1490,16715,34180,0.9362416107382551,0.9362408927626319,0.9362416107382551,-0.033557046979865834,-0.033610055063347355,-0.033557046979865834,1.0371747211895912,1.037235660094459,1.0371747211895912,1.0371950341578804,
polblogs,node2vec_logreg,Zhou_Pei,5,2024,1490,16715,39468,0.7315436241610739,0.7314952471054648,0.7315436241610739,0.17114093959731536,0.17113559059381978,0.17114093959731536,0.8104089219330856,0.8104035631775808,0.8104089219330856,0.8104071356812507,
polblogs,node2vec_logreg,1HiKDA,5,2024,1490,16715,17164,0.8758389261744967,0.8758263415732868,0.8758389261744967,0.02684563758389258,0.02680449612599778,0.02684563758389258,0.9702602230483272,0.9703040323834717,0.9702602230483272,0.970274826160042,
polblogs,node2vec_logreg,original,10,42,1490,16715,16715,0.8993288590604027,0.8993107176645493,0.8993288590604027,0.0,0.0,0.0,1.0,1.0,1.0,1.0,
polblogs,node2vec_logreg,Ange_Original,10,42,1490,16715,16841,0.8959731543624161,0.8959626105073484,0.8959731543624161,0.003355704697986628,0.003348107157200908,0.003355704697986628,0.9962686567164178,0.9962770296278736,0.9962686567164178,0.9962714476869031,
polblogs,node2vec_logreg,Ange_Modifie_NCC,10,42,1490,16715,35612,0.9060402684563759,0.906036036036036,0.9060402684563759,-0.006711409395973145,-0.00672531837148671,-0.006711409395973145,1.007462686567164,1.0074783033709995,1.007462686567164,1.0074678921684426,
polblogs,node2vec_logreg,Zhou_Pei,10,42,1490,16715,40208,0.7248322147651006,0.7247206200432588,0.7248322147651006,0.1744966442953021,0.17459009762129052,0.1744966442953021,0.8059701492537312,0.8058623185602752,0.8059701492537312,0.8059342056892458,
polblogs,node2vec_logreg,1HiKDA,10,42,1490,16715,17159,0.889261744966443,0.8890506007784735,0.889261744966443,0.010067114093959773,0.010260116886075754,0.010067114093959773,0.9888059701492536,0.9885911324255975,0.9888059701492536,0.9887343575747015,
polblogs,node2vec_logreg,original,10,123,1490,16715,16715,0.8959731543624161,0.8959626105073484,0.8959731543624161,0.0,0.0,0.0,1.0,1.0,1.0,1.0,
polblogs,node2vec_logreg,Ange_Original,10,123,1490,16715,16842,0.9228187919463087,0.9228109690860973,0.9228187919463087,-0.02684563758389258,-0.0268483585787489,-0.02684563758389258,1.0299625468164793,1.0299659363726636,1.0299625468164793,1.029963676668541,
polblogs,node2vec_logreg,Ange_Modifie_NCC,10,123,1490,16715,35612,0.9463087248322147,0.9463063063063063,0.9463087248322147,-0.05033557046979864,-0.05034369579895792,-0.05033557046979864,1.0561797752808988,1.0561895052411285,1.0561797752808988,1.0561830186009753,
polblogs,node2vec_logreg,Zhou_Pei,10,123,1490,16715,40208,0.7416107382550335,0.7414680863049969,0.7416107382550335,0.15436241610738255,0.15449452420235144,0.15436241610738255,0.8277153558052435,0.8275658801042297,0.8277153558052435,0.8276655305715722,
polblogs,node2vec_logreg,1HiKDA,10,123,1490,16715,17154,0.8590604026845637,0.8589587559161596,0.8590604026845637,0.03691275167785235,0.03700385459118882,0.03691275167785235,0.9588014981273408,0.9586993316939476,0.9588014981273408,0.9587674426495432,
polblogs,node2vec_logreg,original,10,2024,1490,16715,16715,0.9026845637583892,0.9026308376992845,0.9026845637583892,0.0,0.0,0.0,1.0,1.0,1.0,1.0,
polblogs,node2vec_logreg,Ange_Original,10,2024,1490,16715,16844,0.9060402684563759,0.906036036036036,0.9060402684563759,-0.003355704697986628,-0.0034051983367514582,-0.003355704697986628,1.0037174721189592,1.0037725260367028,1.0037174721189592,1.0037358234248737,
