dataset,model,k,method,accuracy,macro_f1,micro_f1,accuracy_loss,macro_f1_loss,micro_f1_loss,accuracy_utility_ratio,macro_f1_utility_ratio,micro_f1_utility_ratio,global_utility_score
polblogs,node2vec_logreg,2,1HiKDA,0.878076062639821,0.8780302253395824,0.878076062639821,0.02125279642058168,0.021271163284145023,0.02125279642058168,0.976391139273212,0.9763697824105316,0.976391139273212,0.9763840203189852
polblogs,node2vec_logreg,2,Ange_Modifie_NCC,0.912751677852349,0.912742506641294,0.912751677852349,-0.01342281879194629,-0.013441118017566644,-0.01342281879194629,1.0149672637051435,1.0149877458769503,1.0149672637051435,1.0149740910957457
polblogs,node2vec_logreg,2,Ange_Original,0.8982102908277404,0.898181621966768,0.8982102908277404,0.0011185682326622093,0.0011197666569593423,0.0011185682326622093,0.9987654663485546,0.9987640293555794,0.9987654663485546,0.9987649873508961
polblogs,node2vec_logreg,2,Zhou_Pei,0.8154362416107382,0.8151778873387912,0.8154362416107382,0.08389261744966443,0.08412350128493624,0.08389261744966443,0.9067574079811876,0.9064981393068648,0.9067574079811876,0.9066709850897466
polblogs,node2vec_logreg,2,original,0.8993288590604026,0.8993013886237273,0.8993288590604026,0.0,0.0,0.0,1.0,1.0,1.0,1.0
polblogs,node2vec_logreg,5,1HiKDA,0.8624161073825504,0.8623594944462648,0.8624161073825504,0.03691275167785235,0.036941894177462596,0.03691275167785235,0.9589549468036508,0.9589213474481113,0.9589549468036508,0.9589437470184708
polblogs,node2vec_logreg,5,Ange_Modifie_NCC,0.923937360178971,0.9239345132336928,0.923937360178971,-0.024608501118568233,-0.024633124609965324,-0.024608501118568233,1.0273402386449886,1.0273685480421662,1.0273402386449886,1.0273496751107143
polblogs,node2vec_logreg,5,Ange_Original,0.8970917225950782,0.8970817703668007,0.8970917225950782,0.0022371364653243817,0.0022196182569266254,0.0022371364653243817,0.9975216852540273,0.9975409456843018,0.9975216852540273,0.9975281053974521
polblogs,node2vec_logreg,5,Zhou_Pei,0.7539149888143176,0.7537091593640474,0.7539149888143176,0.145413870246085,0.14559222925968016,0.145413870246085,0.838334641482866,0.8381304706925715,0.838334641482866,0.8382665845527679
polblogs,node2vec_logreg,5,original,0.8993288590604026,0.8993013886237273,0.8993288590604026,0.0,0.0,0.0,1.0,1.0,1.0,1.0
polblogs,node2vec_logreg,10,1HiKDA,0.8758389261744967,0.8757346625223721,0.8758389261744967,0.023489932885906062,0.023566726101355313,0.023489932885906062,0.9738617211479603,0.9737753773424053,0.9738617211479603,0.973832939879442
polblogs,node2vec_logreg,10,Ange_Modifie_NCC,0.9328859060402684,0.9328804639211451,0.9328859060402684,-0.03355704697986576,-0.033579075297417695,-0.03355704697986576,1.037323199798177,1.0373488750586153,1.037323199798177,1.037331758218323
polblogs,node2vec_logreg,10,Ange_Original,0.9082774049217002,0.9082698718764939,0.9082774049217002,-0.008948545861297527,-0.008968483252766482,-0.008948545861297527,1.0099828918839522,1.0100051640124132,1.0099828918839522,1.0099903159267727
polblogs,node2vec_logreg,10,Zhou_Pei,0.7416107382550335,0.7414933274946001,0.7416107382550335,0.15771812080536915,0.15780806112912737,0.15771812080536915,0.8246114013145777,0.8245061163315972,0.8246114013145777,0.8245763063202508
polblogs,node2vec_logreg,10,original,0.8993288590604026,0.8993013886237273,0.8993288590604026,0.0,0.0,0.0,1.0,1.0,1.0,1.0
polblogs,node2vec_logreg,50,1HiKDA,0.831096196868009,0.8307924522125761,0.831096196868009,0.06823266219239373,0.06850893641115119,0.06823266219239373,0.9241704472084256,0.9238604836063299,0.9241704472084256,0.924067126007727
polblogs,node2vec_logreg,50,Ange_Modifie_NCC,0.953020134228188,0.9530198067305352,0.953020134228188,-0.053691275167785234,-0.053718418106807886,-0.053691275167785234,1.0597345512804661,1.0597663030248723,1.0597345512804661,1.059745135195268
polblogs,node2vec_logreg,50,Ange_Original,0.9004474272930648,0.9004305057600063,0.9004474272930648,-0.0011185682326622093,-0.0011291171362788344,-0.0011185682326622093,1.0012576522591503,1.0012691946841485,1.0012576522591503,1.0012614997341498
polblogs,node2vec_logreg,50,Zhou_Pei,0.8232662192393736,0.8232500942623933,0.8232662192393736,0.07606263982102905,0.07605129436133418,0.07606263982102905,0.9154314056882372,0.9154413555032687,0.9154314056882372,0.9154347222932477
polblogs,node2vec_logreg,50,original,0.8993288590604026,0.8993013886237273,0.8993288590604026,0.0,0.0,0.0,1.0,1.0,1.0,1.0
