dataset,model,k,method,accuracy,macro_f1,micro_f1,accuracy_loss,macro_f1_loss,micro_f1_loss,accuracy_utility_ratio,macro_f1_utility_ratio,micro_f1_utility_ratio,global_utility_score
pubmed,gat,2,1HiKDA,0.7646666666666667,0.760169481289032,0.7646666666666667,0.010000000000000009,0.010638381882394113,0.010000000000000009,0.9871544995119713,0.9862981712914558,0.9871544995119713,0.9868690567717996
pubmed,gat,2,Ange_Modifie_NCC,0.595,0.585258441263738,0.595,0.17966666666666672,0.185549421907688,0.17966666666666672,0.7680991602723838,0.7593886369574329,0.7680991602723838,0.7651956525007334
pubmed,gat,2,Ange_Original,0.7863333333333333,0.7807364511710645,0.7863333333333333,-0.011666666666666678,-0.009928587999638435,-0.011666666666666678,1.0150687897686312,1.0129021029413943,1.0150687897686312,1.014346560826219
pubmed,gat,2,Zhou_Pei,0.6456666666666667,0.6292556615678867,0.6456666666666667,0.129,0.14155220160353935,0.129,0.8334842704622966,0.8164307721295542,0.8334842704622966,0.8277997710180491
pubmed,gat,2,original,0.7746666666666666,0.770807863171426,0.7746666666666666,0.0,0.0,0.0,1.0,1.0,1.0,1.0
pubmed,gat,5,1HiKDA,0.7656666666666667,0.7612550750276944,0.7656666666666667,0.009000000000000008,0.009552788143731653,0.009000000000000008,0.9884952067350316,0.9877754090901417,0.9884952067350316,0.9882552741867349
pubmed,gat,5,Ange_Modifie_NCC,0.5640000000000001,0.5433066882435891,0.5640000000000001,0.21066666666666667,0.22750117492783695,0.21066666666666667,0.7280831909692439,0.7049671706278554,0.7280831909692439,0.7203778508554478
pubmed,gat,5,Ange_Original,0.7719999999999999,0.7682337636012712,0.7719999999999999,0.002666666666666669,0.002574099570154901,0.002666666666666669,0.9966627964287106,0.9968032865185744,0.9966627964287106,0.9967096264586651
pubmed,gat,5,Zhou_Pei,0.5856666666666667,0.556468553296166,0.5856666666666667,0.18900000000000006,0.2143393098752601,0.18900000000000006,0.7560903540288875,0.7219686937392459,0.7560903540288875,0.7447164672656736
pubmed,gat,5,original,0.7746666666666666,0.770807863171426,0.7746666666666666,0.0,0.0,0.0,1.0,1.0,1.0,1.0
pubmed,gat,10,1HiKDA,0.7603333333333334,0.7566473418647744,0.7603333333333334,0.014333333333333345,0.014160521306651574,0.014333333333333345,0.9815677712226832,0.9817443789273036,0.9815677712226832,0.9816266404575568
pubmed,gat,10,Ange_Modifie_NCC,0.5366666666666667,0.504709580341434,0.5366666666666667,0.238,0.2660982828299921,0.238,0.692796108162717,0.654825911125877,0.692796108162717,0.6801393758171036
pubmed,gat,10,Ange_Original,0.779,0.7746079138081273,0.779,-0.0043333333333333375,-0.003800050636701228,-0.0043333333333333375,1.0056901748663434,1.0050620463660813,1.0056901748663434,1.0054807986995893
pubmed,gat,10,Zhou_Pei,0.5733333333333333,0.5454706016059427,0.5733333333333333,0.2013333333333334,0.22533726156548328,0.2013333333333334,0.7401730484717722,0.7077887381748097,0.7401730484717722,0.7293782783727848
pubmed,gat,10,original,0.7746666666666666,0.770807863171426,0.7746666666666666,0.0,0.0,0.0,1.0,1.0,1.0,1.0
pubmed,gat,50,1HiKDA,0.758,0.7548718117762864,0.758,0.01666666666666668,0.01593605139513965,0.01666666666666668,0.9785974657793731,0.9794420684795,0.9785974657793731,0.9788790000127486
pubmed,gat,50,Ange_Modifie_NCC,0.5436666666666667,0.5112165592354663,0.5436666666666667,0.23099999999999998,0.25959130393595975,0.23099999999999998,0.7019291275313325,0.6633529551170726,0.7019291275313325,0.6890704033932459
pubmed,gat,50,Ange_Original,0.7713333333333333,0.7689631593974117,0.7713333333333333,0.003333333333333336,0.0018447037740143186,0.003333333333333336,0.9956767677941128,0.9976077485036576,0.9956767677941128,0.9963204280306277
pubmed,gat,50,Zhou_Pei,0.5493333333333333,0.5167079479057471,0.5493333333333333,0.2253333333333333,0.25409991526567893,0.2253333333333333,0.7091939342033732,0.670331055092778,0.7091939342033732,0.6962396411665082
pubmed,gat,50,original,0.7746666666666666,0.770807863171426,0.7746666666666666,0.0,0.0,0.0,1.0,1.0,1.0,1.0
