dataset,model,method,k,seed,num_nodes,num_edges_original,num_edges_anonymized,accuracy,macro_f1,micro_f1,accuracy_loss,macro_f1_loss,micro_f1_loss,accuracy_utility_ratio,macro_f1_utility_ratio,micro_f1_utility_ratio,global_utility_score,method_error
pubmed,node2vec_logreg,original,2,42,19717,44324,44324,0.67,0.652831591108553,0.67,0.0,0.0,0.0,1.0,1.0,1.0,1.0,
pubmed,node2vec_logreg,Ange_Original,2,42,19717,44324,44332,0.67,0.6559081007895807,0.67,0.0,-0.0030765096810276837,0.0,1.0,1.0047125625091204,1.0,1.0015708541697068,
pubmed,node2vec_logreg,Ange_Modifie_NCC,2,42,19717,44324,113342,0.379,0.3630097050586383,0.379,0.29100000000000004,0.28982188604991477,0.29100000000000004,0.5656716417910448,0.5560541340259327,0.5656716417910448,0.5624658058693407,
pubmed,node2vec_logreg,Zhou_Pei,2,42,19717,44324,111356,0.484,0.4602124728184662,0.484,0.18600000000000005,0.19261911829008682,0.18600000000000005,0.7223880597014924,0.7049482272097062,0.7223880597014924,0.7165747822042304,
pubmed,node2vec_logreg,1HiKDA,2,42,19717,44324,45151,0.653,0.6329222408026757,0.653,0.017000000000000015,0.01990935030587737,0.017000000000000015,0.9746268656716418,0.9695030838319728,0.9746268656716418,0.9729189383917521,
pubmed,node2vec_logreg,original,2,123,19717,44324,44324,0.66,0.641820924845296,0.66,0.0,0.0,0.0,1.0,1.0,1.0,1.0,
pubmed,node2vec_logreg,Ange_Original,2,123,19717,44324,44332,0.685,0.6718725490814931,0.685,-0.025000000000000022,-0.030051624236197116,-0.025000000000000022,1.0378787878787878,1.0468224438825218,1.0378787878787878,1.0408600065466993,
pubmed,node2vec_logreg,Ange_Modifie_NCC,2,123,19717,44324,113342,0.37,0.3596272611633195,0.37,0.29000000000000004,0.28219366368197646,0.29000000000000004,0.5606060606060606,0.5603233662878844,0.5606060606060606,0.5605118291666685,
pubmed,node2vec_logreg,Zhou_Pei,2,123,19717,44324,111356,0.45,0.4361654957456071,0.45,0.21000000000000002,0.20565542909968887,0.21000000000000002,0.6818181818181818,0.6795750634816715,0.6818181818181818,0.6810704757060116,
pubmed,node2vec_logreg,1HiKDA,2,123,19717,44324,45145,0.646,0.6267176005057661,0.646,0.014000000000000012,0.015103324339529878,0.014000000000000012,0.9787878787878788,0.9764680088247818,0.9787878787878788,0.9780145888001798,
pubmed,node2vec_logreg,original,2,2024,19717,44324,44324,0.658,0.6406653228792912,0.658,0.0,0.0,0.0,1.0,1.0,1.0,1.0,
pubmed,node2vec_logreg,Ange_Original,2,2024,19717,44324,44332,0.666,0.6490779660308793,0.666,-0.008000000000000007,-0.008412643151588073,-0.008000000000000007,1.0121580547112463,1.0131311042617068,1.0121580547112463,1.0124824045613998,
pubmed,node2vec_logreg,Ange_Modifie_NCC,2,2024,19717,44324,113342,0.384,0.3730810084615284,0.384,0.274,0.2675843144177628,0.274,0.5835866261398176,0.5823337008234192,0.5835866261398176,0.5831689843676848,
pubmed,node2vec_logreg,Zhou_Pei,2,2024,19717,44324,111356,0.42,0.41386086406605105,0.42,0.23800000000000004,0.22680445881324018,0.23800000000000004,0.6382978723404255,0.6459860543193895,0.6382978723404255,0.6408605996667468,
pubmed,node2vec_logreg,1HiKDA,2,2024,19717,44324,45123,0.643,0.6237976841836212,0.643,0.015000000000000013,0.016867638695669984,0.015000000000000013,0.9772036474164133,0.9736716845858566,0.9772036474164133,0.9760263264728944,
pubmed,node2vec_logreg,original,5,42,19717,44324,44324,0.67,0.652831591108553,0.67,0.0,0.0,0.0,1.0,1.0,1.0,1.0,
pubmed,node2vec_logreg,Ange_Original,5,42,19717,44324,44346,0.659,0.6445628882680884,0.659,0.01100000000000001,0.008268702840464659,0.01100000000000001,0.9835820895522388,0.9873340951126096,0.9835820895522388,0.9848327580723625,
