dataset,model,k,method,accuracy,macro_f1,micro_f1,accuracy_loss,macro_f1_loss,micro_f1_loss,accuracy_utility_ratio,macro_f1_utility_ratio,micro_f1_utility_ratio,global_utility_score
pubmed,node2vec_logreg,2,1HiKDA,0.6473333333333334,0.6278125084973544,0.6473333333333334,0.015333333333333346,0.017293437780359078,0.015333333333333346,0.976872797291978,0.9732142590808704,0.976872797291978,0.9756532845549422
pubmed,node2vec_logreg,2,Ange_Modifie_NCC,0.37766666666666665,0.3652393248944954,0.37766666666666665,0.28500000000000003,0.279866621383218,0.28500000000000003,0.5699547761789744,0.5662370670457454,0.5699547761789744,0.5687155398012314
pubmed,node2vec_logreg,2,Ange_Original,0.6736666666666666,0.6589528719673177,0.6736666666666666,-0.01100000000000001,-0.013846925689604292,-0.01100000000000001,1.0166789475300113,1.021555370217783,1.0166789475300113,1.0183044217592687
pubmed,node2vec_logreg,2,Zhou_Pei,0.45133333333333336,0.4367462775433748,0.45133333333333336,0.21133333333333337,0.20835966873433862,0.21133333333333337,0.6808347046200333,0.6768364483369224,0.6808347046200333,0.6795019525256629
pubmed,node2vec_logreg,2,original,0.6626666666666666,0.6451059462777134,0.6626666666666666,0.0,0.0,0.0,1.0,1.0,1.0,1.0
pubmed,node2vec_logreg,5,1HiKDA,0.6403333333333333,0.622671571090369,0.6403333333333333,0.022333333333333354,0.02243437518734444,0.022333333333333354,0.9663168453578107,0.9652445385879119,0.9663168453578107,0.9659594097678444
pubmed,node2vec_logreg,5,Ange_Modifie_NCC,0.36433333333333334,0.3379870949535289,0.36433333333333334,0.2983333333333334,0.3071188513241845,0.2983333333333334,0.5498626192973605,0.5240471838441423,0.5498626192973605,0.5412574741462878
pubmed,node2vec_logreg,5,Ange_Original,0.66,0.6443134735811008,0.66,0.002666666666666669,0.0007924726966125709,0.002666666666666669,0.9960363742675588,0.9988340344076126,0.9960363742675588,0.9969689276475768
pubmed,node2vec_logreg,5,Zhou_Pei,0.4003333333333334,0.38876096404439026,0.4003333333333334,0.26233333333333336,0.2563449822333232,0.26233333333333336,0.6039427986712839,0.6025433392682104,0.6039427986712839,0.6034763122035928
pubmed,node2vec_logreg,5,original,0.6626666666666666,0.6451059462777134,0.6626666666666666,0.0,0.0,0.0,1.0,1.0,1.0,1.0
pubmed,node2vec_logreg,10,1HiKDA,0.6433333333333334,0.6257373267410197,0.6433333333333334,0.01933333333333335,0.019368619536693776,0.01933333333333335,0.9707728283149052,0.9699710663008525,0.9707728283149052,0.970505574310221
pubmed,node2vec_logreg,10,Ange_Modifie_NCC,0.36433333333333334,0.3427039913561072,0.36433333333333334,0.2983333333333334,0.3024019549216062,0.2983333333333334,0.549671945146699,0.5311403420412928,0.549671945146699,0.5434947441115635
pubmed,node2vec_logreg,10,Ange_Original,0.629,0.6171927648954886,0.629,0.0336666666666667,0.027913181382224872,0.0336666666666667,0.9492466286051551,0.9567880703786577,0.9492466286051551,0.9517604425296559
pubmed,node2vec_logreg,10,Zhou_Pei,0.38233333333333336,0.36892519299213217,0.38233333333333336,0.2803333333333334,0.2761807532855813,0.2803333333333334,0.5768850552432642,0.5718354687402172,0.5768850552432642,0.5752018597422486
pubmed,node2vec_logreg,10,original,0.6626666666666666,0.6451059462777134,0.6626666666666666,0.0,0.0,0.0,1.0,1.0,1.0,1.0
pubmed,node2vec_logreg,50,1HiKDA,0.6523333333333333,0.6369816440385169,0.6523333333333333,0.010333333333333342,0.008124302239196579,0.010333333333333342,0.9843959258694096,0.9874446545547096,0.9843959258694096,0.9854121687645095
pubmed,node2vec_logreg,50,Ange_Modifie_NCC,0.36199999999999993,0.3489828267768635,0.36199999999999993,0.3006666666666667,0.29612311950084996,0.3006666666666667,0.546188097918806,0.5409550186058114,0.546188097918806,0.5444437381478079
pubmed,node2vec_logreg,50,Ange_Original,0.6416666666666667,0.629404098922357,0.6416666666666667,0.02100000000000002,0.01570184735535633,0.02100000000000002,0.9684090828898704,0.9757818228646918,0.9684090828898704,0.9708666628814776
pubmed,node2vec_logreg,50,Zhou_Pei,0.38833333333333336,0.363280289560956,0.38833333333333336,0.2743333333333334,0.2818256567167574,0.2743333333333334,0.5859871225066525,0.5631204554405722,0.5859871225066525,0.5783649001512924
pubmed,node2vec_logreg,50,original,0.6626666666666666,0.6451059462777134,0.6626666666666666,0.0,0.0,0.0,1.0,1.0,1.0,1.0
